Identifier,District,Event,Level,Level_Rank,Level_Basis,Severity,Urgency,Certainty,Is_Flood,Msg_Type,Sent,Effective,Expires,Headline,Sender,Source_URL
IN-1787763350097006_6,Idukki,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-08-26 22:34:45,2026-08-26 22:00:00,2026-08-27 01:00:00,"Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40-50 Kmph (in Gusts) at isolated places in Kasargod,Thrissur, Ernakulam and Idukki Districts.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787763350097006
IN-1787763350097006_6,Ernakulam,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-08-26 22:34:45,2026-08-26 22:00:00,2026-08-27 01:00:00,"Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40-50 Kmph (in Gusts) at isolated places in Kasargod,Thrissur, Ernakulam and Idukki Districts.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787763350097006
IN-1787763350097006_6,Thrissur,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-08-26 22:34:45,2026-08-26 22:00:00,2026-08-27 01:00:00,"Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40-50 Kmph (in Gusts) at isolated places in Kasargod,Thrissur, Ernakulam and Idukki Districts.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787763350097006
IN-1787763350097006_6,Kasaragod,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-08-26 22:34:45,2026-08-26 22:00:00,2026-08-27 01:00:00,"Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40-50 Kmph (in Gusts) at isolated places in Kasargod,Thrissur, Ernakulam and Idukki Districts.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787763350097006
IN-1787745068196006_6,Pathanamthitta,Very Heavy Rain,Orange,2,event,Severe,Expected,Likely,No,Update,2026-08-26 17:31:58,2026-08-26 17:19:00,2026-08-27 08:30:00,"Very Heavy Rain is very likely to occur at isolated places over Ernakulam, Idukki, Kottayam, Pathanamthitta in next 24 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787745068196006
IN-1787745068196006_6,Kottayam,Very Heavy Rain,Orange,2,event,Severe,Expected,Likely,No,Update,2026-08-26 17:31:58,2026-08-26 17:19:00,2026-08-27 08:30:00,"Very Heavy Rain is very likely to occur at isolated places over Ernakulam, Idukki, Kottayam, Pathanamthitta in next 24 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787745068196006
IN-1787745068196006_6,Idukki,Very Heavy Rain,Orange,2,event,Severe,Expected,Likely,No,Update,2026-08-26 17:31:58,2026-08-26 17:19:00,2026-08-27 08:30:00,"Very Heavy Rain is very likely to occur at isolated places over Ernakulam, Idukki, Kottayam, Pathanamthitta in next 24 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787745068196006
IN-1787745068196006_6,Ernakulam,Very Heavy Rain,Orange,2,event,Severe,Expected,Likely,No,Update,2026-08-26 17:31:58,2026-08-26 17:19:00,2026-08-27 08:30:00,"Very Heavy Rain is very likely to occur at isolated places over Ernakulam, Idukki, Kottayam, Pathanamthitta in next 24 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787745068196006
IN-1787744933209006_6,Thiruvananthapuram,Heavy Rain,Yellow,1,event,Severe,Expected,Likely,No,Update,2026-08-26 17:24:48,2026-08-26 17:12:00,2026-08-26 19:00:00,Thunderstorm with heavy rainfall (&gt;15 mm/ hr) and  gusty winds speed reaching 40 Kmph is likely at one or two places in the districts of Thiruvananthapuram and Kollam in next 3 hours.,Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787744933209006
IN-1787744933209006_6,Kollam,Heavy Rain,Yellow,1,event,Severe,Expected,Likely,No,Update,2026-08-26 17:24:48,2026-08-26 17:12:00,2026-08-26 19:00:00,Thunderstorm with heavy rainfall (&gt;15 mm/ hr) and  gusty winds speed reaching 40 Kmph is likely at one or two places in the districts of Thiruvananthapuram and Kollam in next 3 hours.,Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787744933209006
IN-1787732261761006_6,Pathanamthitta,Flash Flood,Yellow,1,severity,Moderate,Expected,Likely,Yes,Update,2026-08-26 13:54:57,2026-08-26 13:42:00,2026-08-27 13:42:00,"Flash Flood is very likely to occur at isolated places over Alappuzha, Idukki, Kottayam, Pathanamthitta, Palakkad, Thrissur, Kannur, Kasaragod, Wayanad in next 24 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1787732261761006
